Cell ID,RNC ID,RNC Name,Node B Name,Cell Name,Lat0,Lon0,Height [Meters],Azimuth [decimal degrees],Alpha1,Alpha 2,Horizontal Beam Width [decimal degrees],MHz,TA ,SECTOR,R,Lat [Radians],Lon [Radians],Cover,Azimuth [Radians],Cell ID,Lat New,Lon New,Alpha1 [Radians],Alpha2 [Radians],Lat1,Lon1,Lat2,Lon2,IMSI
43059,13,RNC_KOT,ABO_005U,U_ABO_005_9,40.278361,44.626611,17,340,296,384,88,2100,"1,614.20",Sector 3,6378000,0.702990017,0.778881296,1200,5.934119457,43059,40.2884908,44.62235468,5.166174586,6.702064328,40.28308595,44.61537532,40.28820889,44.63167389,14026
63057,13,RNC_KOT,ABO_005U,U_ABO_005_A,40.278361,44.626611,55,100,67.5,132.5,65,900,544.6,Sector 1,6378000,0.702990017,0.778881296,1200,1.745329252,63057,40.27648824,44.63898988,1.178097245,2.312561259,40.2824856,44.63816605,40.27107766,44.63592045,9348
63058,13,RNC_KOT,ABO_005U,U_ABO_005_B,40.278361,44.626611,55,220,187.5,252.5,65,900,587.2,Sector 2,6378000,0.702990017,0.778881296,1200,3.839724354,63058,40.27010267,44.61848804,3.272492347,4.406956361,40.26767319,44.62495817,40.27511861,44.61460921,11080
63059,13,RNC_KOT,ABO_005U,U_ABO_005_C,40.278361,44.626611,17,340,307.5,372.5,65,900,"5,086.00",Sector 3,6378000,0.702990017,0.778881296,1200,5.934119457,63059,40.2884908,44.62235468,5.36688745,6.501351464,40.28492292,44.6167086,40.28888545,44.62930363,16788
43061,13,RNC_KOT,ABO_006U,U_ABO_006_1,40.2665,44.62425,19,50,6,94,88,2100,474.4,Sector 1,6378000,0.702783003,0.778840089,1200,0.872664626,43061,40.27342876,44.63390414,0.104719755,1.640609497,40.27722095,44.62556316,40.26574717,44.63690285,18552
43062,13,RNC_KOT,ABO_006U,U_ABO_006_2,40.2665,44.62425,17,140,96,184,88,2100,982.4,Sector 2,6378000,0.702783003,0.778840089,1200,2.443460953,43062,40.25824167,44.63245433,1.675516082,3.211405824,40.26537233,44.63686822,40.25574624,44.62335779,7531
43063,13,RNC_KOT,ABO_006U,U_ABO_006_3,40.2665,44.62425,19,320,276,364,88,2100,586.7,Sector 3,6378000,0.702783003,0.778840089,1200,5.585053606,43063,40.27475762,44.6161582,4.817108736,6.352998477,40.26762597,44.61165554,40.27725375,44.62512631,17232
43064,13,RNC_KOT,ABO_006U,U_ABO_006_4,40.2665,44.62425,19,50,6,94,88,2100,420.9,Sector 1,6378000,0.702783003,0.778840089,1200,0.872664626,43064,40.27342876,44.63390414,0.104719755,1.640609497,40.27722095,44.62556316,40.26574717,44.63690285,14806
43065,13,RNC_KOT,ABO_006U,U_ABO_006_5,40.2665,44.62425,17,140,96,184,88,2100,746.6,Sector 2,6378000,0.702783003,0.778840089,1200,2.443460953,43065,40.25824167,44.63245433,1.675516082,3.211405824,40.26537233,44.63686822,40.25574624,44.62335779,5210
43066,13,RNC_KOT,ABO_006U,U_ABO_006_6,40.2665,44.62425,19,320,276,364,88,2100,607.7,Sector 3,6378000,0.702783003,0.778840089,1200,5.585053606,43066,40.27475762,44.6161582,4.817108736,6.352998477,40.26762597,44.61165554,40.27725375,44.62512631,11473
43067,13,RNC_KOT,ABO_006U,U_ABO_006_7,40.2665,44.62425,19,50,6,94,88,2100,406.2,Sector 1,6378000,0.702783003,0.778840089,1200,0.872664626,43067,40.27342876,44.63390414,0.104719755,1.640609497,40.27722095,44.62556316,40.26574717,44.63690285,20152
43068,13,RNC_KOT,ABO_006U,U_ABO_006_8,40.2665,44.62425,17,140,96,184,88,2100,"1,200.20",Sector 2,6378000,0.702783003,0.778840089,1200,2.443460953,43068,40.25824167,44.63245433,1.675516082,3.211405824,40.26537233,44.63686822,40.25574624,44.62335779,6170
43069,13,RNC_KOT,ABO_006U,U_ABO_006_9,40.2665,44.62425,19,320,276,364,88,2100,615.9,Sector 3,6378000,0.702783003,0.778840089,1200,5.585053606,43069,40.27475762,44.6161582,4.817108736,6.352998477,40.26762597,44.61165554,40.27725375,44.62512631,22386
63067,13,RNC_KOT,ABO_006U,U_ABO_006_A,40.2665,44.62425,19,50,17.5,82.5,65,900,446,Sector 1,6378000,0.702783003,0.778840089,1200,0.872664626,63067,40.27342876,44.63390414,0.305432619,1.439896633,40.27678101,44.62802908,40.26790623,44.63680255,14183
63068,13,RNC_KOT,ABO_006U,U_ABO_006_B,40.2665,44.62425,17,140,107.5,172.5,65,900,"1,803.10",Sector 2,6378000,0.702783003,0.778840089,1200,2.443460953,63068,40.25824167,44.63245433,1.876228946,3.01069296,40.26325761,44.63637193,40.25581219,44.62591939,5352
63069,13,RNC_KOT,ABO_006U,U_ABO_006_C,40.2665,44.62425,19,320,287.5,352.5,65,900,"1,324.30",Sector 3,6378000,0.702783003,0.778840089,1200,5.585053606,63069,40.27475762,44.6161582,5.017821599,6.152285613,40.26974083,44.61219362,40.27718778,44.62261019,13840
